model,training_size,run_id,seed,auroc,f1,accuracy,precision,recall
random_forest,200,10,3052,0.7565625000000001,0.684931506849315,0.7125,0.7575757575757576,0.625
random_forest,200,11,3053,0.71875,0.6301369863013698,0.6625,0.696969696969697,0.575
random_forest,200,12,3054,0.6956249999999999,0.631578947368421,0.65,0.6666666666666666,0.6
random_forest,200,13,3055,0.7015625,0.6052631578947368,0.625,0.6388888888888888,0.575
random_forest,200,14,3056,0.6765625,0.6052631578947368,0.625,0.6388888888888888,0.575
random_forest,200,15,3057,0.708125,0.64,0.6625,0.6857142857142857,0.6
random_forest,200,16,3058,0.7571874999999999,0.6835443037974683,0.6875,0.6923076923076923,0.675
random_forest,200,17,3059,0.7215625000000001,0.6410256410256411,0.65,0.6578947368421053,0.625
random_forest,200,18,3060,0.66,0.575,0.575,0.575,0.575
random_forest,200,19,3061,0.5996875,0.5454545454545454,0.5625,0.5675675675675675,0.525
random_forest,240,0,4042,0.7171875000000001,0.6933333333333334,0.7125,0.7428571428571429,0.65
random_forest,240,1,4043,0.678125,0.6419753086419753,0.6375,0.6341463414634146,0.65
random_forest,240,2,4044,0.6837500000000001,0.6233766233766234,0.6375,0.6486486486486487,0.6
random_forest,240,3,4045,0.6303124999999999,0.5897435897435898,0.6,0.6052631578947368,0.575
random_forest,240,4,4046,0.7128125000000001,0.6172839506172839,0.6125,0.6097560975609756,0.625
random_forest,240,5,4047,0.7256250000000001,0.6666666666666666,0.675,0.6842105263157895,0.65
random_forest,240,6,4048,0.7040625,0.6835443037974683,0.6875,0.6923076923076923,0.675
random_forest,240,7,4049,0.6556249999999999,0.6506024096385542,0.6375,0.627906976744186,0.675
random_forest,240,8,4050,0.6721874999999999,0.6265060240963856,0.6125,0.6046511627906976,0.65
random_forest,240,9,4051,0.6934375,0.631578947368421,0.65,0.6666666666666666,0.6
random_forest,240,10,4052,0.6718750000000001,0.65,0.65,0.65,0.65
random_forest,240,11,4053,0.6503125,0.6052631578947368,0.625,0.6388888888888888,0.575
random_forest,240,12,4054,0.6690625,0.6493506493506493,0.6625,0.6756756756756757,0.625
random_forest,240,13,4055,0.7125,0.6153846153846154,0.625,0.631578947368421,0.6
random_forest,240,14,4056,0.68,0.6153846153846154,0.625,0.631578947368421,0.6
random_forest,240,15,4057,0.6584375,0.6419753086419753,0.6375,0.6341463414634146,0.65
random_forest,240,16,4058,0.7246874999999999,0.5753424657534246,0.6125,0.6363636363636364,0.525
random_forest,240,17,4059,0.6596875000000001,0.5945945945945946,0.625,0.6470588235294118,0.55
random_forest,240,18,4060,0.673125,0.631578947368421,0.65,0.6666666666666666,0.6
random_forest,240,19,4061,0.6834375,0.6075949367088608,0.6125,0.6153846153846154,0.6
random_forest,280,0,5042,0.6475,0.5384615384615384,0.55,0.5526315789473685,0.525
random_forest,280,1,5043,0.6659375000000001,0.6341463414634146,0.625,0.6190476190476191,0.65
random_forest,280,2,5044,0.68375,0.5974025974025974,0.6125,0.6216216216216216,0.575
random_forest,280,3,5045,0.705625,0.6753246753246753,0.6875,0.7027027027027027,0.65
random_forest,280,4,5046,0.694375,0.6329113924050633,0.6375,0.6410256410256411,0.625
random_forest,280,5,5047,0.6712500000000001,0.6133333333333333,0.6375,0.6571428571428571,0.575
random_forest,280,6,5048,0.6775000000000001,0.6075949367088608,0.6125,0.6153846153846154,0.6
random_forest,280,7,5049,0.7031250000000001,0.6666666666666666,0.6625,0.6585365853658537,0.675
random_forest,280,8,5050,0.6396875,0.5897435897435898,0.6,0.6052631578947368,0.575
random_forest,280,9,5051,0.6909375,0.575,0.575,0.575,0.575
random_forest,280,10,5052,0.7196875,0.6582278481012658,0.6625,0.6666666666666666,0.65
random_forest,280,11,5053,0.66,0.5945945945945946,0.625,0.6470588235294118,0.55
random_forest,280,12,5054,0.6975000000000001,0.625,0.625,0.625,0.625
random_forest,280,13,5055,0.7424999999999999,0.6923076923076923,0.7,0.7105263157894737,0.675
random_forest,280,14,5056,0.6678124999999999,0.6075949367088608,0.6125,0.6153846153846154,0.6
random_forest,280,15,5057,0.6846875000000001,0.65,0.65,0.65,0.65
random_forest,280,16,5058,0.6959375,0.6190476190476191,0.6,0.5909090909090909,0.65
random_forest,280,17,5059,0.6346875,0.6075949367088608,0.6125,0.6153846153846154,0.6
random_forest,280,18,5060,0.6565624999999999,0.547945205479452,0.5875,0.6060606060606061,0.5
random_forest,280,19,5061,0.6721875,0.5974025974025974,0.6125,0.6216216216216216,0.575
random_forest,320,0,6042,0.71625,0.6410256410256411,0.65,0.6578947368421053,0.625
random_forest,320,1,6043,0.71625,0.6410256410256411,0.65,0.6578947368421053,0.625
random_forest,320,2,6044,0.71625,0.6410256410256411,0.65,0.6578947368421053,0.625
random_forest,320,3,6045,0.71625,0.6410256410256411,0.65,0.6578947368421053,0.625
random_forest,320,4,6046,0.71625,0.6410256410256411,0.65,0.6578947368421053,0.625
random_forest,320,5,6047,0.71625,0.6410256410256411,0.65,0.6578947368421053,0.625
random_forest,320,6,6048,0.71625,0.6410256410256411,0.65,0.6578947368421053,0.625
random_forest,320,7,6049,0.71625,0.6410256410256411,0.65,0.6578947368421053,0.625
random_forest,320,8,6050,0.71625,0.6410256410256411,0.65,0.6578947368421053,0.625
random_forest,320,9,6051,0.71625,0.6410256410256411,0.65,0.6578947368421053,0.625
random_forest,320,10,6052,0.71625,0.6410256410256411,0.65,0.6578947368421053,0.625
random_forest,320,11,6053,0.71625,0.6410256410256411,0.65,0.6578947368421053,0.625
random_forest,320,12,6054,0.71625,0.6410256410256411,0.65,0.6578947368421053,0.625
random_forest,320,13,6055,0.71625,0.6410256410256411,0.65,0.6578947368421053,0.625
random_forest,320,14,6056,0.71625,0.6410256410256411,0.65,0.6578947368421053,0.625
random_forest,320,15,6057,0.71625,0.6410256410256411,0.65,0.6578947368421053,0.625
random_forest,320,16,6058,0.71625,0.6410256410256411,0.65,0.6578947368421053,0.625
