model,training_size,run_id,seed,feature_name,mean_abs_shap
logistic_regression,80,18,60,verb_ratio,0.008954463038735008
logistic_regression,80,18,60,adjective_ratio,0.15348821970000964
logistic_regression,80,18,60,adverb_ratio,0.1994606329835682
logistic_regression,80,18,60,pronoun_ratio,0.19971706922950686
logistic_regression,80,18,60,determiner_ratio,0.05201871820316084
logistic_regression,80,19,61,word_count,0.0468033889205776
logistic_regression,80,19,61,sentence_count,0.4750831002821374
logistic_regression,80,19,61,type_token_ratio,0.020710611913384042
logistic_regression,80,19,61,filler_count,0.08901472347665729
logistic_regression,80,19,61,filler_ratio,0.10091160780323091
logistic_regression,80,19,61,mean_clause_length,0.1617913412636654
logistic_regression,80,19,61,content_density,0.3048475993961016
logistic_regression,80,19,61,noun_ratio,0.04970706009828366
logistic_regression,80,19,61,verb_ratio,0.13519005980030366
logistic_regression,80,19,61,adjective_ratio,0.020121493094912006
logistic_regression,80,19,61,adverb_ratio,0.22989993859878508
logistic_regression,80,19,61,pronoun_ratio,0.03151120810984382
logistic_regression,80,19,61,determiner_ratio,0.15801825597771557
logistic_regression,120,0,1042,word_count,0.29288784636283777
logistic_regression,120,0,1042,sentence_count,0.12922820671132468
logistic_regression,120,0,1042,type_token_ratio,0.6300759274189431
logistic_regression,120,0,1042,filler_count,0.11270577821404311
logistic_regression,120,0,1042,filler_ratio,0.20687524625138048
logistic_regression,120,0,1042,mean_clause_length,0.0041021762891031485
logistic_regression,120,0,1042,content_density,0.14759936776165894
logistic_regression,120,0,1042,noun_ratio,0.05230994122804823
logistic_regression,120,0,1042,verb_ratio,0.06362213424573697
logistic_regression,120,0,1042,adjective_ratio,0.2807398340268478
logistic_regression,120,0,1042,adverb_ratio,0.15662605582498343
logistic_regression,120,0,1042,pronoun_ratio,0.026925244135413934
logistic_regression,120,0,1042,determiner_ratio,0.10194071876377708
logistic_regression,120,1,1043,word_count,0.18440768731779192
logistic_regression,120,1,1043,sentence_count,0.040786538623992216
logistic_regression,120,1,1043,type_token_ratio,0.50467482492891
logistic_regression,120,1,1043,filler_count,0.16485043571062855
logistic_regression,120,1,1043,filler_ratio,0.17607158401400436
logistic_regression,120,1,1043,mean_clause_length,0.08791001899605577
logistic_regression,120,1,1043,content_density,0.32474073386783436
logistic_regression,120,1,1043,noun_ratio,0.02505540373139544
logistic_regression,120,1,1043,verb_ratio,0.17743010453057217
logistic_regression,120,1,1043,adjective_ratio,0.22808063935221767
logistic_regression,120,1,1043,adverb_ratio,0.3440244573039116
logistic_regression,120,1,1043,pronoun_ratio,0.07495009194255395
logistic_regression,120,1,1043,determiner_ratio,0.2958278574779394
logistic_regression,120,2,1044,word_count,0.27018154656750604
logistic_regression,120,2,1044,sentence_count,0.034868692339139855
logistic_regression,120,2,1044,type_token_ratio,0.844606430289582
logistic_regression,120,2,1044,filler_count,0.10826359366338659
logistic_regression,120,2,1044,filler_ratio,0.10093334411771973
logistic_regression,120,2,1044,mean_clause_length,0.3409174923672249
logistic_regression,120,2,1044,content_density,0.3733294564751571
logistic_regression,120,2,1044,noun_ratio,0.12626079716198851
